"Summary","Usage time","","Checked phone",""
"01/02/2022","0:00:00","＝","0","＝"
"Last 7 days","11:21:35","-70%","78","-75%"
"Last 7 days (average)","1:37:22","-70%","39","-13%"
"Last 30 days","61:40:51","＋","577","＋"
"Last 30 days (average)","2:03:22","＋","48","＋"
""
"Daily usage digest, 1 February 2022"
"Created by App Usage on Friday, 4 February 2022, 12:08"
