"Summary","Usage time","","Checked phone",""
"03/02/2022","0:00:00","＝","0","＝"
"Last 7 days","0:00:00","-100%","0","-100%"
"Last 7 days (average)","0:00:00","-100%","0","-100%"
"Last 30 days","61:40:51","＋","577","＋"
"Last 30 days (average)","2:03:22","＋","48","＋"
""
"Daily usage digest, 3 February 2022"
"Created by App Usage on Friday, 4 February 2022, 12:09"
