"Summary","Usage time","","Checked phone",""
"02/02/2022","0:00:00","＝","0","＝"
"Last 7 days","5:31:44","-85%","32","-90%"
"Last 7 days (average)","0:47:23","-85%","32","-29%"
"Last 30 days","61:40:51","＋","577","＋"
"Last 30 days (average)","2:03:22","＋","48","＋"
""
"Daily usage digest, 2 February 2022"
"Created by App Usage on Friday, 4 February 2022, 12:08"
