"Summary","Usage time","","Checked phone",""
"29/01/2022","0:00:00","＝","0","＝"
"Last 7 days","26:28:38","-25%","217","-40%"
"Last 7 days (average)","3:46:57","-25%","43","-16%"
"Last 30 days","61:40:51","＋","577","＋"
"Last 30 days (average)","2:03:22","＋","48","＋"
""
"Daily usage digest, 29 January 2022"
"Created by App Usage on Friday, 4 February 2022, 12:08"
