"Summary","Usage time","","Checked phone",""
"28/01/2022","0:00:00","-100%","0","-100%"
"Last 7 days","33:01:50","+15%","250","-24%"
"Last 7 days (average)","4:43:07","+15%","42","-24%"
"Last 30 days","61:40:51","＋","577","＋"
"Last 30 days (average)","2:03:22","＋","48","＋"
""
"Daily usage digest, 28 January 2022"
"Created by App Usage on Friday, 4 February 2022, 12:08"
