"Summary","Usage time","","Checked phone",""
"30/01/2022","0:00:00","＝","0","＝"
"Last 7 days","21:49:44","-38%","190","-43%"
"Last 7 days (average)","3:07:06","-38%","48","+2%"
"Last 30 days","61:40:51","＋","577","＋"
"Last 30 days (average)","2:03:22","＋","48","＋"
""
"Daily usage digest, 30 January 2022"
"Created by App Usage on Friday, 4 February 2022, 12:08"
